title,price,subtitle,city
4-комнатная квартира · 130.27 м²,от 105 779 240 〒,"Наурызбайский р-н, мкр Акжар, Белжайлау 47а",Алматы
4-комнатная квартира · 127.16 м²,от 90 283 600 〒,"Турксибский р-н, Кульджинский тр-т 80/1",Алматы
3-комнатная квартира · 86.85 м²,от 51 502 050 〒,"Турксибский р-н, Тараз",Алматы
3-комнатная квартира · 135.6 м²,от 173 568 000 〒,"Медеуский р-н, мкр Горный Гигант, Оспанова 83/36",Алматы
1-комнатная квартира · 62.7 м²,от 65 835 000 〒,"Медеуский р-н, мкр Горный Гигант, Оспанова 83/36",Алматы
3-комнатная квартира · 66.37 м²,от 39 822 000 〒,"Жетысуский р-н, Райымбека 241",Алматы
1-комнатная квартира · 33 м² · 5/5 этаж,32 500 000 〒,"Алмалинский р-н, улица Клочкова 24 — Қабанбай батыра",Алматы
2-комнатная квартира · 51.8 м² · 3 этаж,27 000 000 〒,"Алатауский р-н, Турара Рыскулова 103/7",Алматы
3-комнатная квартира · 78 м² · 5/5 этаж,59 990 000 〒,"Бостандыкский р-н, Абая 62",Алматы
4-комнатная квартира · 121.5 м² · 2/3 этаж,285 000 000 〒,"Медеуский р-н, Тайманова 224Б",Алматы
2-комнатная квартира · 81.6 м² · 15/19 этаж,84 000 000 〒,"Бостандыкский р-н, Аль-Фараби 41",Алматы
2-комнатная квартира · 55 м² · 5/5 этаж,32 950 000 〒,"Алмалинский р-н, мкр Тастак-2 17",Алматы
1-комнатная квартира · 44 м² · 1/6 этаж,19 000 000 〒,"Алатауский р-н, Северное кольцо 86/3",Алматы
3-комнатная квартира · 75 м² · 1/9 этаж,55 000 000 〒,"Ауэзовский р-н, мкр Мамыр-4 304",Алматы
3-комнатная квартира · 104 м² · 13/14 этаж,110 000 000 〒,"Бостандыкский р-н, Гагарина 277/7",Алматы
4-комнатная квартира · 126.48 м²,от 151 776 000 〒,"Алмалинский р-н, Шевченко 109",Алматы
3-комнатная квартира · 92.4 м²,от 68 376 000 〒,"Наурызбайский р-н, мкр Акжар, Белжайлау 47а",Алматы
2-комнатная квартира · 64.2 м²,от 26 000 000 〒,вдоль Капчагайской трассы,Алматы
2-комнатная квартира · 65.8 м²,от 78 960 000 〒,"Медеуский р-н, Сагадат Нурмагамбетов 71",Алматы
